Run	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[initial time point]	Sample Characteristic Ontology Term[initial time point]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sex]	Factor Value Ontology Term[sex]	Analysed
SRR351028	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		170-320 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351029	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		170-320 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351030	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		230-380 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351031	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		230-380 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351032	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		230-380 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351033	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		230-380 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351034	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		410-560 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351035	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		410-560 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351036	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		470-620 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351037	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		470-620 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351038	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		470-620 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351039	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		470-620 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR351040	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		680-830 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR351041	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		680-830 minute		cleavage of the egg cell		fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR352279	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		260-410 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR352280	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		260-410 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358683	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358684	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358685	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358686	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358687	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR358688	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358689	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR358690	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358691	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358692	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR358693	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358694	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358695	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358696	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358697	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358698	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR358699	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR359063	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR359065	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359066	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		50-200 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359067	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		170-320 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359069	enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		200-350 minute		cleavage of the egg cell		enclosing embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005505	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR359087	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		500-650 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359088	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		560-710 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359089	3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		530-680 minute		cleavage of the egg cell		3-fold embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005499	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359090	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		440-590 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359091	elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		470-620 minute		cleavage of the egg cell		elongating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005506	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR359094	late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		230-380 minute		cleavage of the egg cell		late cleavage stage embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005502	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR360120	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR360121	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR360122	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR360123	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR360124	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
